# SandboxID carrier pool — real MCC/MNC network operators for SIM/carrier spoof
#
# 140 genuine carriers across 67 countries. Every MCC/MNC/ISO here is a REAL
# allocation taken from the public mcc-mnc.com dataset (no fabricated codes);
# only the human-readable name is normalized. The `carrier` command in
# rotate_ids.sh reads one row and writes the operator identity into
# identity.prop (GSM_OPERATOR_NUMERIC = MCC+MNC, GSM_OPERATOR_ALPHA = name,
# GSM_OPERATOR_ISO = iso, GSM_CARRIER_ID = carrier_id). Add your own by
# appending a row below.
#
# Columns (tab-separated): name  mcc  mnc  iso  [carrier_id]
#   name        display/operator name (Build gsm.operator.alpha)
#   mcc         Mobile Country Code (3 digits)
#   mnc         Mobile Network Code (2-3 digits, width preserved for numeric)
#   iso         SIM/network country ISO-3166 alpha-2 (lowercase)
#   carrier_id  OPTIONAL 5th column: Android canonical carrier id, taken verbatim
#               from AOSP carrier_list.textpb (TelephonyManager.getSimCarrierId()).
#               Consumed by the L3 telephony hook. Leave blank when the operator is
#               not in Google's carrier DB — a real device reports -1 (UNKNOWN) there,
#               so blank is the truthful value. Do NOT invent numbers.
#
Etisalat	424	02	ae
du	424	03	ae
Claro	722	310	ar
Personal	722	340	ar
A1	232	01	at
Magenta	232	03	at
Optus	505	02	au
Telstra	505	01	au
Banglalink	470	03	bd
GrameenPhone	470	01	bd
Orange	206	10	be
Proximus	206	00	be
A1	284	01	bg
Vivacom	284	03	bg
Claro	724	05	br
TIM	724	02	br
Vivo	724	01	br
Rogers	302	720	ca
Telus	302	220	ca
Sunrise	228	02	ch
Swisscom	228	01	ch
Claro	730	03	cl
Entel	730	01	cl
China Mobile	460	00	cn
China Telecom	460	03	cn
China Unicom	460	01	cn
Claro	732	101	co
Tigo	732	103	co
O2	230	02	cz
T-Mobile	230	01	cz
Telekom	262	01	de
Vodafone	262	02	de
TDC	238	01	dk
Telia	238	20	dk
Orange	602	01	eg
Vodafone	602	02	eg
Movistar	214	05	es
Vodafone	214	01	es
DNA	244	03	fi
Elisa	244	05	fi
Bouygues	208	20	fr
Orange	208	01	fr
O2	234	10	gb
Vodafone	234	15	gb
MTN	620	01	gh
Vodafone	620	02	gh
Cosmote	202	01	gr
Vodafone	202	05	gr
CSL	454	00	hk
SmarTone	454	06	hk
A1	219	10	hr
Hrvatski Telekom	219	01	hr
Telekom	216	30	hu
Vodafone	216	70	hu
Axis	510	08	id	788
Indosat	510	21	id	789
Smartfren	510	09	id
Telkomsel	510	10	id	787
Tri	510	89	id
XL	510	11	id	788
Vodafone	272	01	ie
eir	272	03	ie
Cellcom	425	02	il
Pelephone	425	03	il
Airtel	405	53	in
BSNL	404	34	in
Idea	404	04	in
Siminn	274	01	is
Vodafone	274	02	is
TIM	222	01	it
Vodafone	222	06	it
KDDI	440	50	jp
NTT DoCoMo	440	10	jp
SoftBank	440	20	jp
Airtel	639	03	ke
Safaricom	639	01	ke
Cellcard	456	01	kh
Smart	456	02	kh
KT	450	02	kr
SK Telecom	450	03	kr
Beeline	401	01	kz
Kcell	401	02	kz
Dialog	413	02	lk
Mobitel	413	01	lk
Maroc Telecom	604	01	ma
inwi	604	02	ma
Movistar	334	030	mx
Telcel	334	020	mx
Celcom	502	13	my
Maxis	502	12	my
Airtel	621	20	ng
MTN	621	30	ng
KPN	204	08	nl
Vodafone	204	04	nl
Telenor	242	01	no
Telia	242	02	no
Ncell	429	02	np
Nepal Telecom	429	01	np
2degrees	530	24	nz
Spark	530	02	nz
Claro	716	10	pe
Movistar	716	06	pe
Globe	515	01	ph
Smart	515	03	ph
Jazz	410	01	pk
Zong	410	04	pk
Orange	260	03	pl
Play	260	06	pl
MEO	268	06	pt
Vodafone	268	01	pt
Ooredoo	427	01	qa
Vodafone	427	02	qa
Orange	226	10	ro
Vodafone	226	01	ro
Telekom Srbija	220	03	rs
Telenor	220	01	rs
Beeline	250	99	ru
MTS	250	01	ru
STC	420	01	sa
Zain	420	04	sa
Tele2	240	05	se
Telia	240	01	se
Singtel	525	01	sg
StarHub	525	05	sg
Orange	231	01	sk
Telekom	231	02	sk
AIS	520	03	th
DTAC	520	05	th
Turkcell	286	01	tr
Vodafone	286	02	tr
Chunghwa	466	11	tw
Far EasTone	466	01	tw
Airtel	640	05	tz
Vodacom	640	04	tz
Kyivstar	255	02	ua
Vodafone	255	01	ua
AT&T	310	410	us
T-Mobile	310	260	us
Verizon	311	480	us
MobiFone	452	01	vn
Viettel	452	04	vn
MTN	655	10	za
Vodacom	655	01	za
